facility__i_d,measure__i_d,value,footnote,start__date,end__date
50352,MSPB-1,0.89916,,01/01/2022,12/31/2022
50353,MSPB-1,0.961113,,01/01/2022,12/31/2022
50357,MSPB-1,0.966916,,01/01/2022,12/31/2022
50360,MSPB-1,0.981337,,01/01/2022,12/31/2022
50367,MSPB-1,0.909826,,01/01/2022,12/31/2022
50373,MSPB-1,0.875536,,01/01/2022,12/31/2022
50376,MSPB-1,0.889664,,01/01/2022,12/31/2022
50378,MSPB-1,1.114928,,01/01/2022,12/31/2022
50380,MSPB-1,1.00159,,01/01/2022,12/31/2022
50382,MSPB-1,1.171022,,01/01/2022,12/31/2022
50390,MSPB-1,1.04279,,01/01/2022,12/31/2022
50393,MSPB-1,1.004213,,01/01/2022,12/31/2022
50394,MSPB-1,1.00773,,01/01/2022,12/31/2022
50396,MSPB-1,1.011369,,01/01/2022,12/31/2022
50407,MSPB-1,0.873343,,01/01/2022,12/31/2022
50411,MSPB-1,0.793784,,01/01/2022,12/31/2022
50414,MSPB-1,0.933005,,01/01/2022,12/31/2022
50417,MSPB-1,0.927231,,01/01/2022,12/31/2022
50423,MSPB-1,1.411987,,01/01/2022,12/31/2022
50424,MSPB-1,0.933399,,01/01/2022,12/31/2022
50425,MSPB-1,0.970451,,01/01/2022,12/31/2022
50426,MSPB-1,1.130985,,01/01/2022,12/31/2022
50438,MSPB-1,0.990122,,01/01/2022,12/31/2022
50441,MSPB-1,0.985111,,01/01/2022,12/31/2022
50444,MSPB-1,0.937256,,01/01/2022,12/31/2022
50454,MSPB-1,0.963212,,01/01/2022,12/31/2022
50455,MSPB-1,1.048351,,01/01/2022,12/31/2022
50457,MSPB-1,0.94009,,01/01/2022,12/31/2022
50464,MSPB-1,1.009157,,01/01/2022,12/31/2022
50468,MSPB-1,1.120558,,01/01/2022,12/31/2022
50471,MSPB-1,1.111145,,01/01/2022,12/31/2022
50481,MSPB-1,1.045364,,01/01/2022,12/31/2022
50485,MSPB-1,1.057369,,01/01/2022,12/31/2022
50488,MSPB-1,1.023484,,01/01/2022,12/31/2022
50492,MSPB-1,1.024046,,01/01/2022,12/31/2022
50496,MSPB-1,0.993223,,01/01/2022,12/31/2022
50498,MSPB-1,0.861629,,01/01/2022,12/31/2022
50503,MSPB-1,0.935663,,01/01/2022,12/31/2022
50506,MSPB-1,0.997724,,01/01/2022,12/31/2022
50510,MSPB-1,0.973132,,01/01/2022,12/31/2022
50512,MSPB-1,0.882383,,01/01/2022,12/31/2022
50515,MSPB-1,0.83194,,01/01/2022,12/31/2022
50516,MSPB-1,0.957645,,01/01/2022,12/31/2022
50517,MSPB-1,0.92854,,01/01/2022,12/31/2022
50523,MSPB-1,1.02562,,01/01/2022,12/31/2022
50526,MSPB-1,1.115325,,01/01/2022,12/31/2022
50528,MSPB-1,0.928126,,01/01/2022,12/31/2022
50534,MSPB-1,0.921532,,01/01/2022,12/31/2022
50537,MSPB-1,0.859234,,01/01/2022,12/31/2022
50541,MSPB-1,0.929118,,01/01/2022,12/31/2022
50543,MSPB-1,0.878716,,01/01/2022,12/31/2022
50549,MSPB-1,0.994458,,01/01/2022,12/31/2022
50551,MSPB-1,1.010045,,01/01/2022,12/31/2022
50557,MSPB-1,0.970156,,01/01/2022,12/31/2022
50561,MSPB-1,1.039377,,01/01/2022,12/31/2022
50567,MSPB-1,0.988956,,01/01/2022,12/31/2022
50570,MSPB-1,1.078484,,01/01/2022,12/31/2022
50573,MSPB-1,0.959954,,01/01/2022,12/31/2022
50580,MSPB-1,1.063382,,01/01/2022,12/31/2022
50581,MSPB-1,1.078987,,01/01/2022,12/31/2022
50586,MSPB-1,0.94867,,01/01/2022,12/31/2022
50588,MSPB-1,1.066895,,01/01/2022,12/31/2022
50589,MSPB-1,1.071682,,01/01/2022,12/31/2022
50590,MSPB-1,0.94088,,01/01/2022,12/31/2022
50597,MSPB-1,1.202474,,01/01/2022,12/31/2022
50599,MSPB-1,0.970286,,01/01/2022,12/31/2022
50603,MSPB-1,1.040901,,01/01/2022,12/31/2022
50604,MSPB-1,0.883758,,01/01/2022,12/31/2022
50608,MSPB-1,0.992905,,01/01/2022,12/31/2022
50609,MSPB-1,0.96295,,01/01/2022,12/31/2022
50624,MSPB-1,1.061055,,01/01/2022,12/31/2022
50625,MSPB-1,1.057169,,01/01/2022,12/31/2022
50633,MSPB-1,0.94169,,01/01/2022,12/31/2022
50636,MSPB-1,0.974577,,01/01/2022,12/31/2022
50641,MSPB-1,1.092608,,01/01/2022,12/31/2022
50663,MSPB-1,1.282262,,01/01/2022,12/31/2022
50668,MSPB-1,0.738888,,01/01/2022,12/31/2022
50674,MSPB-1,0.920498,,01/01/2022,12/31/2022
50677,MSPB-1,1.025866,,01/01/2022,12/31/2022
50678,MSPB-1,1.01737,,01/01/2022,12/31/2022
50684,MSPB-1,0.9815,,01/01/2022,12/31/2022
50686,MSPB-1,1.010497,,01/01/2022,12/31/2022
50689,MSPB-1,1.004142,,01/01/2022,12/31/2022
50690,MSPB-1,0.832124,,01/01/2022,12/31/2022
50696,MSPB-1,1.001389,,01/01/2022,12/31/2022
